Column1,欄1,Column3,Column4
來來超商,便利商店,22.504921,120.392472
統一超商,便利商店,22.505949,120.437484
統一超商,便利商店,22.506083,120.396455
萊爾富,便利商店,22.506667,120.39409
統一超商,便利商店,22.506833,120.392106
來來超商,便利商店,22.506951,120.392102
統一超商,便利商店,22.507317,120.396694
統一超商,便利商店,22.50770235,120.3885247
統一超商,便利商店,22.511176,120.394635
全家便利商店,便利商店,22.512035,120.3947
統一超商,便利商店,22.512843,120.394811
全家便利商店,便利商店,22.512843,120.394811
全家便利商店,便利商店,22.513578,120.512568
統一超商,便利商店,22.513871,120.512851
全家便利商店,便利商店,22.513871,120.512851
統一超商,便利商店,22.513995,120.512705
統一超商,便利商店,22.515205,120.513692
統一超商,便利商店,22.52463235,120.3489447
全家便利商店,便利商店,22.526444,120.346239
統一超商,便利商店,22.526451,120.624845
統一超商,便利商店,22.527149,120.344152
全家便利商店,便利商店,22.527169,120.453141
萊爾富,便利商店,22.529687,120.398816
統一超商,便利商店,22.529833,120.398908
統一超商,便利商店,22.533257,120.959593
統一超商,便利商店,22.538819,120.459892
統一超商,便利商店,22.539353,120.548647
統一超商,便利商店,22.539552,120.40329
統一超商,便利商店,22.539839,120.403971
統一超商,便利商店,22.541482,120.538271
萊爾富,便利商店,22.542392,120.532965
萊爾富,便利商店,22.542629,120.54302
統一超商,便利商店,22.542751,120.536133
統一超商,便利商店,22.543086,120.460984
萊爾富,便利商店,22.543256,120.3803
萊爾富,便利商店,22.543647,120.374638
統一超商,便利商店,22.54404897,120.4616563
全家便利商店,便利商店,22.545024,120.544045
來來超商,便利商店,22.54507,120.539601
統一超商,便利商店,22.545294,120.543423
統一超商,便利商店,22.546049,120.539487
全家便利商店,便利商店,22.549255,120.538471
統一超商,便利商店,22.549354,120.539513
統一超商,便利商店,22.549387,120.539742
來來超商,便利商店,22.54989833,120.5430436
全家便利商店,便利商店,22.551256,120.541853
統一超商,便利商店,22.55147,120.538562
全家便利商店,便利商店,22.552988,120.534556
來來超商,便利商店,22.553165,120.538983
來來超商,便利商店,22.553165,120.538983
全家便利商店,便利商店,22.553165,120.538983
統一超商,便利商店,22.553594,120.540118
全家便利商店,便利商店,22.553711,120.548448
萊爾富,便利商店,22.553776,120.423415
萊爾富,便利商店,22.553797,120.42301
統一超商,便利商店,22.553943,120.540406
統一超商,便利商店,22.554262,120.547201
統一超商,便利商店,22.554279,120.546928
萊爾富,便利商店,22.554997,120.537474
全家便利商店,便利商店,22.555799,120.538618
全家便利商店,便利商店,22.555874,120.543352
統一超商,便利商店,22.556075,120.540195
全家便利商店,便利商店,22.556114,120.543125
全家便利商店,便利商店,22.556231,120.381676
統一超商,便利商店,22.556378,120.539573
統一超商,便利商店,22.556822,120.549073
統一超商,便利商店,22.557672,120.384682
統一超商,便利商店,22.559289,120.540228
來來超商,便利商店,22.559289,120.540228
統一超商,便利商店,22.559726,120.486237
統一超商,便利商店,22.560534,120.373985
統一超商,便利商店,22.560906,120.374028
來來超商,便利商店,22.560938,120.350443
萊爾富,便利商店,22.560958,120.41145
統一超商,便利商店,22.561312,120.411989
統一超商,便利商店,22.56164,120.486662
全家便利商店,便利商店,22.562609,120.356121
萊爾富,便利商店,22.562615,120.472559
統一超商,便利商店,22.562694,120.428853
統一超商,便利商店,22.56273235,120.3892547
全家便利商店,便利商店,22.562763,120.333708
全家便利商店,便利商店,22.563097,120.333489
統一超商,便利商店,22.56345235,120.3668847
全家便利商店,便利商店,22.563467,120.353659
統一超商,便利商店,22.564026,120.350767
統一超商,便利商店,22.564651,120.333766
全家便利商店,便利商店,22.56466235,120.3689747
統一超商,便利商店,22.564741,120.337061
全家便利商店,便利商店,22.565065,120.351051
全家便利商店,便利商店,22.565199,120.336401
統一超商,便利商店,22.565251,120.341521
統一超商,便利商店,22.565255,120.349607
全家便利商店,便利商店,22.565368,120.346482
萊爾富,便利商店,22.565438,120.370475
萊爾富,便利商店,22.565841,120.428839
統一超商,便利商店,22.565869,120.352224
統一超商,便利商店,22.565887,120.351601
統一超商,便利商店,22.566618,120.353456
統一超商,便利商店,22.566623,120.372785
全家便利商店,便利商店,22.566636,120.354539
萊爾富,便利商店,22.566636,120.354539
統一超商,便利商店,22.56671235,120.3481447
全家便利商店,便利商店,22.566751,120.373054
統一超商,便利商店,22.567037,120.356664
全家便利商店,便利商店,22.567046,120.3587
統一超商,便利商店,22.56721235,120.3321447
萊爾富,便利商店,22.567335,120.363589
統一超商,便利商店,22.567561,120.362545
統一超商,便利商店,22.567801,120.351471
統一超商,便利商店,22.56803,120.362348
統一超商,便利商店,22.568235,120.352196
統一超商,便利商店,22.568462,120.363661
全家便利商店,便利商店,22.568572,120.358221
萊爾富,便利商店,22.569072,120.429009
統一超商,便利商店,22.569129,120.347998
統一超商,便利商店,22.569269,120.365388
全家便利商店,便利商店,22.569622,120.330386
統一超商,便利商店,22.569653,120.354821
萊爾富,便利商店,22.569818,120.420112
萊爾富,便利商店,22.569918,120.31991
統一超商,便利商店,22.569969,120.350971
統一超商,便利商店,22.570098,120.358473
來來超商,便利商店,22.570664,120.34857
統一超商,便利商店,22.571105,120.363784
統一超商,便利商店,22.571488,120.32199
統一超商,便利商店,22.571618,120.322199
萊爾富,便利商店,22.57162,120.328895
萊爾富,便利商店,22.57176235,120.3289147
統一超商,便利商店,22.572439,120.595174
全家便利商店,便利商店,22.572746,120.36524
統一超商,便利商店,22.57275,120.518882
來來超商,便利商店,22.572772,120.318878
統一超商,便利商店,22.572946,120.371299
全家便利商店,便利商店,22.572946,120.371299
統一超商,便利商店,22.572973,120.568131
統一超商,便利商店,22.572976,120.568222
來來超商,便利商店,22.573605,120.568635
統一超商,便利商店,22.573704,120.322623
全家便利商店,便利商店,22.57443,120.568855
統一超商,便利商店,22.574437,120.297633
統一超商,便利商店,22.574625,120.371515
萊爾富,便利商店,22.575015,120.316945
萊爾富,便利商店,22.5757,120.421591
統一超商,便利商店,22.576532,120.32403
全家便利商店,便利商店,22.57744,120.323245
全家便利商店,便利商店,22.57875,120.322254
統一超商,便利商店,22.578867,120.325643
統一超商,便利商店,22.57893,120.322312
全家便利商店,便利商店,22.57893,120.322312
統一超商,便利商店,22.57896235,120.3717647
統一超商,便利商店,22.581184,120.322919
全家便利商店,便利商店,22.581541,120.329271
來來超商,便利商店,22.581667,120.35851
統一超商,便利商店,22.581809,120.353594
來來超商,便利商店,22.582122,120.316615
全家便利商店,便利商店,22.582157,120.354867
統一超商,便利商店,22.582416,120.318035
萊爾富,便利商店,22.582435,120.429378
萊爾富,便利商店,22.582561,120.420789
來來超商,便利商店,22.582739,120.362484
全家便利商店,便利商店,22.58298,120.317191
萊爾富,便利商店,22.58319235,120.4206847
萊爾富,便利商店,22.583588,120.349748
統一超商,便利商店,22.583905,120.354902
統一超商,便利商店,22.584087,120.322319
統一超商,便利商店,22.584412,120.488863
全家便利商店,便利商店,22.58451235,120.3611947
全家便利商店,便利商店,22.584612,120.544574
統一超商,便利商店,22.584639,120.362843
統一超商,便利商店,22.584683,120.322045
統一超商,便利商店,22.584699,120.349825
統一超商,便利商店,22.584774,120.35922
統一超商,便利商店,22.58492235,120.3624847
統一超商,便利商店,22.58536,120.544522
全家便利商店,便利商店,22.585626,120.367607
全家便利商店,便利商店,22.58588235,120.3367247
全家便利商店,便利商店,22.586378,120.319708
統一超商,便利商店,22.58656748,120.3183679
萊爾富,便利商店,22.586664,120.489733
全家便利商店,便利商店,22.58775235,120.3269947
萊爾富,便利商店,22.588019,120.325878
全家便利商店,便利商店,22.588122,120.362662
來來超商,便利商店,22.58813,120.30571
統一超商,便利商店,22.58819,120.360203
萊爾富,便利商店,22.588236,120.358591
萊爾富,便利商店,22.588413,120.366123
統一超商,便利商店,22.588877,120.491996
統一超商,便利商店,22.589143,120.486656
統一超商,便利商店,22.589166,120.314947
萊爾富,便利商店,22.589672,120.366102
統一超商,便利商店,22.589997,120.314307
統一超商,便利商店,22.590355,120.363081
統一超商,便利商店,22.590393,120.489174
全家便利商店,便利商店,22.590451,120.307555
萊爾富,便利商店,22.590803,120.420117
萊爾富,便利商店,22.590918,120.417061
統一超商,便利商店,22.59099,120.41947
全家便利商店,便利商店,22.591068,120.327341
萊爾富,便利商店,22.59108,120.31291
統一超商,便利商店,22.591146,120.337713
來來超商,便利商店,22.591273,120.397271
統一超商,便利商店,22.591348,120.414872
統一超商,便利商店,22.591397,120.337477
萊爾富,便利商店,22.591631,120.398183
統一超商,便利商店,22.591866,120.326698
全家便利商店,便利商店,22.591871,120.488856
萊爾富,便利商店,22.591944,120.328605
全家便利商店,便利商店,22.592099,120.421872
全家便利商店,便利商店,22.5921,120.489099
統一超商,便利商店,22.592149,120.326476
統一超商,便利商店,22.592164,120.317815
統一超商,便利商店,22.592173,120.308367
全家便利商店,便利商店,22.592264,120.312513
來來超商,便利商店,22.59237,120.327427
全家便利商店,便利商店,22.592459,120.399298
統一超商,便利商店,22.592493,120.312112
來來超商,便利商店,22.59259,120.402999
統一超商,便利商店,22.593044,120.358596
